0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Ford,Nixon,Johnson,Kennedy,Eisenhower,Truman,Roosevelt,Hoover,Coolidge,Harding
,,119,,,,,,,,,,,,,,,134.9,,,
,,120,,,,,,,,,,,,,,,146.5,,,
,,121,,,,,,,,,,,,,,,144.5,,,
,,122,,,,,,,,,,,,,,,156.4,,,
,,123,,,,,,,,,,,,,,,158.8,,,
,,124,,,,,,,,,,,,,,,145.4,,,
,,125,,,,,,,,,,,,,,,146.6,,,
,,126,,,,,,,,,,,,,,,152.9,,,
,,127,,,,,,,,,,,,,,,149.6,,,
,,128,,,,,,,,,,,,,,,133.9,,,
,,129,,,,,,,,,,,,,,,145.3,,,
,,130,,,,,,,,,,,,,,,148.0,,,
,,131,,,,,,,,,,,,,,,146.0,,,
,,132,,,,,,,,,,,,,,,150.6,,,
,,133,,,,,,,,,,,,,,,145.9,,,
,,134,,,,,,,,,,,,,,,156.8,,,
,,135,,,,,,,,,,,,,,,167.8,,,
,,136,,,,,,,,,,,,,,,163.7,,,
,,137,,,,,,,,,,,,,,,165.3,,,
,,138,,,,,,,,,,,,,,,164.9,,,
,,139,,,,,,,,,,,,,,,164.5,,,
,,140,,,,,,,,,,,,,,,165.9,,,
,,141,,,,,,,,,,,,,,,174.9,,,
,,142,,,,,,,,,,,,,,,177.4,,,
,,143,,,,,,,,,,,,,,,189.5,,,
,,144,,,,,,,,,,,,,,,178.7,,,
,,145,,,,,,,,,,,,,,,198.6,,,
