0,Obama,counter,Trump (2016),Trump (2024)
,59.7,512,20.0,
,62.4,513,20.5,
,61.9,514,20.3,
,62.3,515,19.1,
,62.8,516,19.2,
,63.8,517,19.3,
,64.5,518,20.8,
,64.0,519,21.2,
,64.2,520,20.9,
,65.1,521,22.2,
,65.5,522,22.4,
,64.9,523,22.6,
,66.0,524,22.2,
,66.5,525,23.0,
,66.8,526,23.1,
,63.4,527,23.0,
,62.4,528,22.9,
,62.2,529,22.6,
,63.9,530,23.4,
,64.8,531,23.0,
,62.2,532,22.8,
,62.5,533,22.0,
,65.3,534,21.0,
,64.1,535,20.8,
,62.7,536,22.5,
,64.2,537,22.9,
,63.9,538,23.8,
,60.8,539,23.7,
,62.0,540,24.3,
,61.0,541,24.7,
,59.2,542,24.7,
,56.1,543,24.3,
,58.2,544,25.7,
,58.9,545,23.3,
,61.2,546,23.2,
,60.7,547,24.1,
,61.1,548,23.5,
,62.6,549,24.0,
,63.2,550,24.8,
,62.7,551,26.2,
,63.9,552,26.2,
,65.0,553,26.5,
,64.7,554,26.8,
,65.5,555,27.4,
,65.5,556,27.5,
,65.5,557,26.7,
,65.9,558,27.2,
,65.6,559,27.2,
,64.9,560,28.0,
,64.5,561,27.9,
,63.2,562,28.0,
,63.2,563,27.7,
,63.2,564,27.9,
,63.9,565,28.0,
,62.1,566,29.2,
,63.0,567,28.9,
,65.2,568,28.8,
,66.1,569,29.4,
,65.8,570,29.6,
,67.3,571,29.7,
,68.4,572,28.7,
,69.0,573,28.5,
,69.3,574,29.7,
,69.0,575,29.1,
,68.5,576,27.0,
,67.3,577,26.8,
,65.8,578,26.4,
,66.4,579,26.9,
,67.2,580,23.8,
,68.5,581,24.8,
,66.7,582,25.5,
,67.5,583,26.6,
,66.1,584,25.9,
,65.1,585,25.0,
,65.0,586,26.1,
,66.5,587,25.8,
,66.9,588,24.3,
,65.6,589,24.4,
,63.6,590,23.4,
,63.5,591,22.5,
,64.0,592,22.8,
,64.6,593,21.2,
,65.3,594,20.8,
,67.1,595,23.4,
,63.3,596,24.4,
,63.1,597,25.2,
,61.5,598,26.5,
,59.7,599,27.1,
,59.6,600,27.1,
,58.9,601,26.8,
,60.1,602,27.3,
,57.8,603,27.1,
,57.9,604,27.2,
,59.9,605,28.5,
,57.2,606,28.8,
,57.4,607,30.1,
,57.9,608,29.9,
,58.8,609,29.7,
,60.9,610,28.4,
,59.8,611,28.3,
,59.4,612,28.8,
,57.5,613,29.5,
,59.0,614,30.5,
,61.0,615,30.9,
,62.4,616,31.9,
,64.0,617,31.7,
,66.4,618,31.0,
,66.2,619,31.2,
,66.3,620,31.8,
,68.1,621,32.1,
,66.9,622,32.7,
,63.9,623,32.7,
,63.1,624,32.3,
,63.6,625,31.4,
,62.5,626,31.9,
,63.5,627,31.1,
,62.1,628,31.4,
,64.8,629,32.3,
,64.7,630,32.9,
,66.9,631,32.2,
,67.0,632,33.2,
,66.1,633,33.0,
,65.4,634,32.7,
,62.1,635,31.2,
,61.5,636,30.0,
,60.5,637,29.1,
,59.8,638,25.2,
,55.7,639,26.9,
,56.5,640,27.0,
,49.0,641,29.4,
,49.0,642,28.5,
,39.0,643,27.0,
,45.6,644,28.8,
,39.2,645,25.1,
,45.6,646,25.4,
,46.4,647,27.2,
,49.6,648,28.7,
,48.1,649,27.7,
,48.3,650,28.8,
,41.7,651,28.7,
,39.5,652,25.4,
,39.6,653,26.7,
,44.4,654,26.3,
,46.2,655,27.1,
,44.0,656,28.8,
,46.1,657,28.8,
,50.3,658,28.0,
,50.6,659,29.3,
,51.4,660,31.0,
,49.6,661,31.1,
,45.8,662,31.1,
,44.7,663,31.2,
,48.9,664,32.1,
,47.3,665,32.5,
,43.3,666,32.4,
,44.3,667,32.0,
,45.7,668,32.3,
,47.6,669,32.4,
,50.2,670,32.4,
,51.0,671,31.7,
,49.5,672,31.7,
,49.3,673,30.6,
,44.9,674,31.4,
,40.3,675,31.1,
,41.1,676,30.4,
,44.4,677,31.1,
,46.0,678,29.5,
,42.9,679,27.1,
,44.1,680,28.1,
,40.5,681,30.0,
,36.5,682,29.4,
,39.6,683,27.4,
,42.1,684,28.5,
,44.7,685,29.4,
,43.5,686,30.8,
,48.4,687,30.6,
,48.5,688,31.9,
,49.9,689,31.6,
,49.5,690,32.0,
,52.1,691,31.5,
,49.1,692,32.4,
,52.2,693,31.9,
,50.3,694,32.3,
,50.9,695,32.5,
,53.8,696,33.1,
,55.8,697,33.8,
,52.6,698,33.7,
,54.2,699,34.1,
,59.5,700,33.7,
,59.6,701,35.0,
,55.6,702,35.5,
,51.3,703,35.4,
,53.7,704,35.5,
,56.6,705,35.8,
,55.6,706,36.2,
,56.6,707,35.9,
,58.5,708,36.1,
,52.6,709,36.2,
,54.0,710,36.3,
,57.0,711,37.4,
,55.5,712,37.5,
,56.2,713,37.4,
,53.6,714,36.9,
,51.0,715,36.6,
,51.0,716,36.9,
,48.2,717,38.0,
,47.5,718,38.3,
,44.3,719,38.8,
,43.9,720,38.3,
,48.1,721,37.1,
,48.4,722,36.2,
,54.9,723,37.0,
,54.6,724,37.3,
,54.5,725,38.5,
,56.1,726,38.1,
,56.3,727,37.9,
,56.6,728,38.3,
,53.3,729,39.5,
,55.9,730,39.5,
,53.6,731,40.5,
,52.2,732,40.6,
,50.5,733,40.5,
,51.0,734,41.1,
,51.5,735,41.8,
,49.7,736,41.9,
,54.2,737,41.9,
,54.5,738,42.6,
,55.7,739,42.6,
,57.1,740,41.8,
,57.2,741,42.2,
,55.2,742,43.4,
,56.9,743,42.4,
,56.2,744,42.9,
,58.6,745,42.5,
,58.6,746,43.2,
,59.1,747,44.2,
,58.7,748,43.8,
,59.0,749,44.8,
,60.5,750,44.5,
,60.5,751,44.8,
,60.9,752,46.0,
,60.1,753,46.6,
,60.7,754,46.2,
,62.4,755,46.2,
,63.2,756,46.4,
,63.4,757,45.1,
,63.4,758,42.8,
,63.3,759,44.2,
,64.7,760,44.1,
,63.7,761,44.6,
,63.5,762,42.0,
,63.1,763,43.0,
,63.0,764,45.2,
,64.4,765,46.8,
,64.6,766,47.3,
,67.0,767,46.5,
,67.0,768,47.6,
,67.3,769,47.8,
,67.7,770,48.8,
,67.9,771,48.5,
,66.7,772,48.8,
,67.9,773,48.4,
,67.7,774,49.1,
,66.8,775,48.5,
,68.7,776,47.0,
,69.1,777,42.0,
,69.2,778,37.7,
,68.6,779,37.2,
,69.3,780,31.1,
,69.6,781,30.1,
,69.8,782,36.1,
,70.4,783,32.2,
,69.6,784,37.8,
