0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Nixon,Kennedy,Eisenhower,Roosevelt,Hoover,Harding
,,67,,,90.6,7.1,170.8,,90.5,,-18.5,,68.6,137.6,,
,,68,,,87.6,7.4,168.8,,78.7,,-23.1,,77.3,150.7,,
,,69,,,93.7,9.3,128.1,,91.1,,-31.1,,79.3,147.2,,
,,70,,,93.0,12.1,137.3,,77.9,,,,87.6,151.0,,
,,71,,,97.0,16.0,160.0,,89.0,,,,91.5,169.3,,
,,72,,,101.9,17.4,175.8,,92.7,,,,96.5,165.9,,
,,73,,,101.9,19.7,177.8,,90.9,,,,105.8,174.6,,
,,74,,,94.4,21.2,183.2,,117.3,,,,109.4,155.1,,
,,75,,,105.4,17.8,181.6,,123.9,,,,112.8,161.4,,
,,76,,,101.3,18.6,196.1,,132.0,,,,112.1,134.0,,
,,77,,,102.1,25.4,226.4,,130.2,,,,119.9,128.0,,
,,78,,,104.0,30.9,219.5,,130.7,,,,127.0,145.2,,
,,79,,,99.6,28.7,231.9,,143.5,,,,126.9,131.8,,
,,80,,,100.4,26.9,222.4,,158.9,,,,137.9,154.2,,
,,81,,,87.2,28.3,227.6,,168.1,,,,134.2,138.5,,
,,82,,,84.4,33.4,212.7,,161.4,,,,122.7,170.7,,
,,83,,,100.1,33.8,224.6,,100.7,,,,127.9,169.5,,
,,84,,,100.7,28.4,229.1,,84.6,,,,132.4,158.5,,
,,85,,,97.4,27.4,247.8,,95.2,,,,,166.6,,
,,86,,,86.5,21.5,231.0,,97.1,,,,,157.9,,
,,87,,,87.1,17.8,206.4,,108.6,,,,,160.1,,
,,88,,,100.3,17.7,230.4,,100.1,,,,,162.6,,
,,89,,,101.3,23.1,224.8,,104.6,,,,,163.4,,
,,90,,,101.5,21.4,218.4,,104.5,,,,,106.2,,
,,91,,,103.1,9.0,216.1,,115.6,,,,,116.3,,
,,92,,,108.8,9.3,218.3,,114.3,,,,,123.9,,
,,93,,,108.4,10.8,239.3,,104.5,,,,,129.7,,
,,94,,,107.4,4.2,222.2,,112.7,,,,,135.4,,
,,95,,,105.5,-10.5,231.9,,116.3,,,,,138.9,,
,,96,,,116.6,-15.2,215.1,,112.9,,,,,132.5,,
,,97,,,,,,,,,,,,132.7,,
,,98,,,,,,,,,,,,120.3,,
,,99,,,,,,,,,,,,116.5,,
,,100,,,,,,,,,,,,117.8,,
,,101,,,,,,,,,,,,105.0,,
,,102,,,,,,,,,,,,105.4,,
,,103,,,,,,,,,,,,118.5,,
,,104,,,,,,,,,,,,128.6,,
,,105,,,,,,,,,,,,126.6,,
,,106,,,,,,,,,,,,125.1,,
,,107,,,,,,,,,,,,109.1,,
,,108,,,,,,,,,,,,102.7,,
,,109,,,,,,,,,,,,96.9,,
,,110,,,,,,,,,,,,93.6,,
,,111,,,,,,,,,,,,89.5,,
,,112,,,,,,,,,,,,76.6,,
,,113,,,,,,,,,,,,69.2,,
,,114,,,,,,,,,,,,79.0,,
,,115,,,,,,,,,,,,83.4,,
,,116,,,,,,,,,,,,87.6,,
,,117,,,,,,,,,,,,88.7,,
,,118,,,,,,,,,,,,93.6,,
,,119,,,,,,,,,,,,102.4,,
,,120,,,,,,,,,,,,103.2,,
,,121,,,,,,,,,,,,111.9,,
,,122,,,,,,,,,,,,122.9,,
,,123,,,,,,,,,,,,130.9,,
,,124,,,,,,,,,,,,142.4,,
,,125,,,,,,,,,,,,140.4,,
,,126,,,,,,,,,,,,152.1,,
,,127,,,,,,,,,,,,154.4,,
,,128,,,,,,,,,,,,141.3,,
,,129,,,,,,,,,,,,142.4,,
,,130,,,,,,,,,,,,148.7,,
,,131,,,,,,,,,,,,145.4,,
,,132,,,,,,,,,,,,129.9,,
,,133,,,,,,,,,,,,141.2,,
,,134,,,,,,,,,,,,143.8,,
,,135,,,,,,,,,,,,141.9,,
,,136,,,,,,,,,,,,146.4,,
,,137,,,,,,,,,,,,141.8,,
,,138,,,,,,,,,,,,152.4,,
,,139,,,,,,,,,,,,163.3,,
,,140,,,,,,,,,,,,159.3,,
,,141,,,,,,,,,,,,160.9,,
,,142,,,,,,,,,,,,160.4,,
,,143,,,,,,,,,,,,160.0,,
,,144,,,,,,,,,,,,161.5,,
