date,close
1942-12-01,1.6247
1943-01-01,1.6058
1943-02-01,1.6055
1943-03-01,1.5689
1943-04-01,1.5684
1943-05-01,1.5770
1943-06-01,1.5495
1943-07-01,1.5207
1943-08-01,1.4889
1943-09-01,1.4444
1943-10-01,1.4593
1943-11-01,1.4252
1943-12-01,1.3787
1944-01-01,1.3631
1944-02-01,1.3684
1944-03-01,1.3540
1944-04-01,1.3358
1944-05-01,1.3029
1944-06-01,1.2649
1944-07-01,1.2651
1944-08-01,1.2505
1944-09-01,1.2192
1944-10-01,1.1905
1944-11-01,1.1527
1944-12-01,1.1471
1945-01-01,1.1755
1945-02-01,1.1681
1945-03-01,1.1488
1945-04-01,1.1411
1945-05-01,1.1190
1945-06-01,1.1032
1945-07-01,1.1056
1945-08-01,1.0896
1945-09-01,1.0717
1945-10-01,1.0625
1945-11-01,1.0494
1945-12-01,1.0376
1946-01-01,1.0499
1946-02-01,1.0620
1946-03-01,1.0668
1946-04-01,1.0668
1946-05-01,1.0629
1946-06-01,1.0542
1946-07-01,1.0501
1946-08-01,1.0486
1946-09-01,1.0432
1946-10-01,1.0404
1946-11-01,1.0346
1946-12-01,1.0236
1947-01-01,1.0384
1947-02-01,1.0517
1947-03-01,1.0516
1947-04-01,1.0557
1947-05-01,1.0562
1947-06-01,1.0512
1947-07-01,1.0476
1947-08-01,1.0458
1947-09-01,1.0275
1947-10-01,1.0258
1947-11-01,1.0271
1947-12-01,1.0138
1948-01-01,1.0251
1948-02-01,1.0458
1948-03-01,1.0527
1948-04-01,1.0605
1948-05-01,1.0619
1948-06-01,1.0556
1948-07-01,1.0535
1948-08-01,1.0503
1948-09-01,1.0389
1948-10-01,1.0431
1948-11-01,1.0411
1948-12-01,1.0347
1949-01-01,0.9564
1949-02-01,0.9712
1949-03-01,0.9743
1949-04-01,0.9782
1949-05-01,0.9779
1949-06-01,0.9776
1949-07-01,0.9692
1949-08-01,0.9689
1949-09-01,0.9657
1949-10-01,0.9658
1949-11-01,0.9658
1949-12-01,0.9567
1950-01-01,1.0671
1950-02-01,1.0667
1950-03-01,1.0661
1950-04-01,1.0662
1950-05-01,1.0643
1950-06-01,1.0675
1950-07-01,1.0679
1950-08-01,1.0688
1950-09-01,1.0638
1950-10-01,1.0614
1950-11-01,1.0636
1950-12-01,1.0549
1951-01-01,1.0542
1951-02-01,1.0515
1951-03-01,1.0445
1951-04-01,1.0380
1951-05-01,1.0421
1951-06-01,1.0347
1951-07-01,1.0322
1951-08-01,1.0286
1951-09-01,1.0235
1951-10-01,1.0127
1951-11-01,1.0158
1951-12-01,1.0102
1952-01-01,0.9916
1952-02-01,0.9921
1952-03-01,0.9854
1952-04-01,0.9915
1952-05-01,0.9883
1952-06-01,0.9829
1952-07-01,0.9784
1952-08-01,0.9770
1952-09-01,0.9710
1952-10-01,0.9684
1952-11-01,0.9641
1952-12-01,0.9594
1953-01-01,0.9664
1953-02-01,0.9636
1953-03-01,0.9641
1953-04-01,0.9664
1953-05-01,0.9635
1953-06-01,0.9605
1953-07-01,0.9566
1953-08-01,0.9542
1953-09-01,0.9543
1953-10-01,0.9557
1953-11-01,0.9550
1953-12-01,0.9581
1954-01-01,0.9583
1954-02-01,0.9643
1954-03-01,0.9651
1954-04-01,0.9659
1954-05-01,0.9631
1954-06-01,0.9629
1954-07-01,0.9643
1954-08-01,0.9609
1954-09-01,0.9647
1954-10-01,0.9584
1954-11-01,0.9542
1954-12-01,0.9588
1955-01-01,0.9572
1955-02-01,0.9549
1955-03-01,0.9571
1955-04-01,0.9532
1955-05-01,0.9525
1955-06-01,0.9560
1955-07-01,0.9528
1955-08-01,0.9517
1955-09-01,0.9529
1955-10-01,0.9501
1955-11-01,0.9496
1955-12-01,0.9492
1956-01-01,0.9463
1956-02-01,0.9467
1956-03-01,0.9419
1956-04-01,0.9437
1956-05-01,0.9441
1956-06-01,0.9424
1956-07-01,0.9434
1956-08-01,0.9436
1956-09-01,0.9398
1956-10-01,0.9414
1956-11-01,0.9360
1956-12-01,0.9341
1957-01-01,0.9270
1957-02-01,0.9277
1957-03-01,0.9273
1957-04-01,0.9245
1957-05-01,0.9282
1957-06-01,0.9263
1957-07-01,0.9247
1957-08-01,0.9268
1957-09-01,0.9255
1957-10-01,0.9263
1957-11-01,0.9278
1957-12-01,0.9249
1958-01-01,0.9346
1958-02-01,0.9321
1958-03-01,0.9274
1958-04-01,0.9251
1958-05-01,0.9204
1958-06-01,0.9158
1958-07-01,0.9167
1958-08-01,0.9137
1958-09-01,0.9170
1958-10-01,0.9161
1958-11-01,0.9141
1958-12-01,0.9121
1959-01-01,0.9111
1959-02-01,0.9078
1959-03-01,0.9078
1959-04-01,0.9052
1959-05-01,0.9033
1959-06-01,0.9039
1959-07-01,0.9022
1959-08-01,0.9001
1959-09-01,0.9018
1959-10-01,0.9029
1959-11-01,0.9045
1959-12-01,0.9038
1960-01-01,0.9018
1960-02-01,0.9044
1960-03-01,0.9049
1960-04-01,0.9044
1960-05-01,0.9030
1960-06-01,0.9028
1960-07-01,0.9008
1960-08-01,0.8990
1960-09-01,0.8959
1960-10-01,0.8939
1960-11-01,0.8916
1960-12-01,0.8925
1961-01-01,0.8903
1961-02-01,0.8881
1961-03-01,0.8889
1961-04-01,0.8892
1961-05-01,0.8890
1961-06-01,0.8857
1961-07-01,0.8854
1961-08-01,0.8801
1961-09-01,0.8769
1961-10-01,0.8718
1961-11-01,0.8685
1961-12-01,0.8663
1962-01-01,0.8633
1962-02-01,0.8631
1962-03-01,0.8594
1962-04-01,0.8551
1962-05-01,0.8524
1962-06-01,0.8506
1962-07-01,0.8482
1962-08-01,0.8460
1962-09-01,0.8462
1962-10-01,0.8418
1962-11-01,0.8385
1962-12-01,0.8351
1963-01-01,0.8331
1963-02-01,0.8292
1963-03-01,0.8254
1963-04-01,0.8221
1963-05-01,0.8176
1963-06-01,0.8154
1963-07-01,0.8096
1963-08-01,0.8082
1963-09-01,0.8042
1963-10-01,0.8020
1963-11-01,0.7979
1963-12-01,0.7896
1964-01-01,0.7892
1964-02-01,0.7878
1964-03-01,0.7825
1964-04-01,0.7798
