0,May-82 to Present,counter,Dec-48 to May-82,Jul-21 to Dec-48
,2076.9,395,401.4,
,2097.7,396,393.5,
,2049.9,397,391.3,
,2058.5,398,365.0,
,1916.7,399,364.1,
,1887.1,400,378.5,
,2055.3,401,362.2,
,2062.2,402,,
,2026.2,403,,
,1909.2,404,,
,1915.3,405,,
,2057.9,406,,
,2068.7,407,,
,2070.4,408,,
,2087.8,409,,
,2149.1,410,,
,2145.3,411,,
,2134.0,412,,
,2113.7,413,,
,2233.5,414,,
,2311.4,415,,
,2323.8,416,,
,2439.5,417,,
,2421.3,418,,
,2455.2,419,,
,2463.5,420,,
,2505.1,421,,
,2571.1,422,,
,2578.1,423,,
,2633.9,424,,
,2752.5,425,,
,2861.7,426,,
,2916.2,427,,
,3090.7,428,,
,2954.1,429,,
,2841.1,430,,
,2848.4,431,,
,2879.2,432,,
,2861.6,433,,
,3001.2,434,,
,3068.2,435,,
,3128.4,436,,
,2964.6,437,,
,3016.2,438,,
,2746.4,439,,
,2950.5,440,,
,3062.3,441,,
,3063.8,442,,
,3144.9,443,,
,2927.9,444,,
,3145.7,445,,
,3178.0,446,,
,3121.7,447,,
,3184.4,448,,
,3200.2,449,,
,3322.8,450,,
,3382.3,451,,
,3347.8,452,,
,3000.4,453,,
,2574.3,454,,
,2870.7,455,,
,2997.2,456,,
,3049.7,457,,
,3124.8,458,,
,3369.0,459,,
,3289.9,460,,
,3133.7,461,,
,3516.5,462,,
,3634.6,463,,
