date,close
1927-10-01,318.8246
1927-11-01,347.7368
1927-12-01,352.1053
1928-01-01,342.3966
1928-02-01,335.8276
1928-03-01,369.7414
1928-04-01,364.8793
1928-05-01,378.9828
1928-06-01,362.7069
1928-07-01,372.4138
1928-08-01,414.5000
1928-09-01,409.2759
1928-10-01,434.7586
1928-11-01,505.8276
1928-12-01,517.2414
1929-01-01,599.0755
1929-02-01,598.8868
1929-03-01,582.7358
1929-04-01,602.4340
1929-05-01,561.1509
1929-06-01,629.7925
1929-07-01,656.0377
1929-08-01,717.6038
1929-09-01,648.0189
1929-10-01,516.0566
1929-11-01,450.8491
1929-12-01,468.8302
1930-01-01,703.0000
1930-02-01,713.4474
1930-03-01,752.8947
1930-04-01,734.8158
1930-05-01,723.8684
1930-06-01,595.6316
1930-07-01,615.7632
1930-08-01,632.6842
1930-09-01,539.2105
1930-10-01,482.5000
1930-11-01,482.6053
1930-12-01,433.1053
1931-01-01,577.7586
1931-02-01,654.0000
1931-03-01,594.3448
1931-04-01,521.3448
1931-05-01,442.9655
1931-06-01,517.8621
1931-07-01,466.8621
1931-08-01,480.7241
1931-09-01,333.1379
1931-10-01,363.5517
1931-11-01,323.6897
1931-12-01,268.6207
1932-01-01,272.1071
1932-02-01,290.8571
1932-03-01,261.7143
1932-04-01,200.3929
1932-05-01,159.7857
1932-06-01,153.0000
1932-07-01,193.7857
1932-08-01,261.2857
1932-09-01,255.5714
1932-10-01,221.0714
1932-11-01,201.2500
1932-12-01,214.0357
1933-01-01,174.0000
1933-02-01,146.8286
1933-03-01,158.2857
1933-04-01,221.8857
1933-05-01,251.7429
1933-06-01,280.4000
1933-07-01,259.3429
1933-08-01,292.6000
1933-09-01,270.9143
1933-10-01,251.8857
1933-11-01,280.4000
1933-12-01,285.4286
1934-01-01,223.3750
1934-02-01,215.5417
1934-03-01,212.1875
1934-04-01,209.3542
1934-05-01,195.8333
1934-06-01,199.4167
1934-07-01,183.4375
1934-08-01,193.4583
1934-09-01,192.9792
1934-10-01,194.5000
1934-11-01,214.4583
1934-12-01,216.7500
1935-01-01,158.8906
1935-02-01,159.9688
1935-03-01,157.5156
1935-04-01,171.0156
1935-05-01,172.8750
1935-06-01,184.7031
1935-07-01,197.2344
1935-08-01,199.8281
1935-09-01,206.1250
1935-10-01,218.3438
1935-11-01,222.4219
1935-12-01,225.2031
1936-01-01,332.2000
1936-02-01,338.1111
1936-03-01,347.4222
1936-04-01,323.7111
1936-05-01,339.2000
1936-06-01,350.4222
1936-07-01,366.3556
1936-08-01,369.5333
1936-09-01,372.9333
1936-10-01,393.7556
1936-11-01,407.1556
1936-12-01,399.7778
1937-01-01,412.7556
1937-02-01,416.2222
1937-03-01,414.2444
1937-04-01,387.2667
1937-05-01,388.2444
1937-06-01,376.2667
1937-07-01,412.4667
1937-08-01,394.2444
1937-09-01,343.4889
1937-10-01,307.0444
1937-11-01,274.4000
1937-12-01,268.5556
1938-01-01,283.4186
1938-02-01,301.4884
1938-03-01,230.1163
1938-04-01,258.7907
1938-05-01,250.5581
1938-06-01,311.3488
1938-07-01,328.4884
1938-08-01,323.8837
1938-09-01,328.9535
1938-10-01,352.8605
1938-11-01,348.4186
1938-12-01,359.9070
1939-01-01,368.6154
1939-02-01,377.6923
1939-03-01,338.0513
1939-04-01,329.3590
1939-05-01,354.3077
1939-06-01,334.9487
1939-07-01,367.3333
1939-08-01,344.6410
1939-09-01,391.1282
1939-10-01,389.4359
1939-11-01,373.5641
1939-12-01,385.2308
1940-01-01,415.2286
1940-02-01,418.6857
1940-03-01,422.7143
1940-04-01,424.0857
